polled_at_utc,states
2026-09-22T17:55:11,OOVVVVOVvOOOOOOVOOOOoOVO?OOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOOOOOVVVVVVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOOVOVVOOOOVOOVOOOOOO?OOOVOOOoOOOOOVOOOOOoOoOOO?OOOVVVVVVVVVVVVVVVVVVVvVVVOVVVVVVO?VOOOOOOVOOOOOOVOOOOOVVVOOVOOVOOO
2026-09-22T18:00:19,OOVVVVOVvOOOOOOVOOOOoOVO?VOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOVVVOVVOOVOOVOOOOOOOOO?Oo?OOOOVOV?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOOVOVVOOOVVOOVOOOOOO?OOOVOOOoOOOOOOOOOOOoOoOOO?OOOVVVVVVVVVVVVVVVVVVVvVVVOVVVVVVO?VOOOVOOVOOOOOOOOOOOOVOVOOVOOVOOO
2026-09-22T18:05:11,OOVVVOOVvOOOOOOVOOOOoOVO?VOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOVOVOOOVVVVVVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOOOVOVVOOOVVOOVOOOOOO?OOOVOOOoOOOOOVOOOVOoOoOOO?OOOVVVVVVVVVVVVVVVVVVVvVVVOVVVVVVO?OOOOVOOVOOOOOOOOOOOOVOVOOVOOVOOO
2026-09-22T18:10:14,OOOVVOOVvOOOOOOVOOOOoOOO?VOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOVOOOVVVVVVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOVOOOVOoOoOVV?OOOVVVVVVVVVVVVVVVVVOVvVVVOVVVVVVO?OOOOVOOVOOOOOOOOOOOOVOVOOVOOVOOO
2026-09-22T18:15:18,OVOVOOOVvOOOOOOVOOOOoOOO?VOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOVVVVOVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOOOOOOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOOOOOOOoOoOVO?OVOVVVVVVVVVVVVVVVVVOVvVVVVOVVVVVO?OOOOVOOVOOOOOOOOOOOOVOVOOVOOVOOO
2026-09-22T18:20:13,OVVVOOOVvOOOOOOVOOOOoOOO?VOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOVVVOOOOOVOOVOOVOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOVoOOOOOOOOOOoOOOOOOOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOOOOOVOoOoOVO?OOOVVVVVVVVVVVVVVVVVVVvVVVVOVVVVVO?OOOOVOOVOOOOOOOOVOOOVOVOOVOOVOOO
2026-09-22T18:25:13,OVVVOOOVvOOOOOOVOOOOoOOO?OOOOOOOOOOVOOOOOOOOOOOOOOOVOOOOOOOOOOVVVVOVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOVOOOOoOOVOOOOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOOOOOVOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVvVVVVVVVVVVO?OOOOOOOVOOOOOOOOVOOOVOVOOVOOVOOO
2026-09-22T18:30:16,OOVVOOOVvOOOOOOVOOOOoOOO?VOOOOOOOOOVVOOOOOOOOOOOOOOVOOOOOOOOOOVVVVOVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOOOVOVVOOOVVOOVOOOOOO?OOOVOOVoVOOOOVOOOVOoOoOVV?OOOVVVVVVVVVVVVVVVOVVVvVVVVVVVVVVO?OOOOOOOOOOOOOOOOVOOOVOVOVVOOVOOO
2026-09-22T18:35:11,OVVVOOOVvOOOOOOVOOOOoOOO?OOOOOOOOOOVOOOOOOOOOOOOOOOVOOOOOOOOOOVVVOOVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVOOVOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOVOOOOOoOoOVO?OOOVVVVVVVVVVVVVVVOVVVvVVVVVVVVOVO?OOOOOOOOOOOOOOOOVOOOVOVOVVOOVOOO
2026-09-22T18:40:14,OVVVOOOVvOOOOOOVOOOOoOOO?OOOOOOOOOOVOOOOOOOOOOOOOOOVOOOOOOVOOOVVVVOVOOVOOVOOOOOOOOO?Oo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOVOOOOoOOOOOVOVOVVOOOVVOOVVOOOOO?OOOVOOOoOOOOOVOOOOOoOoOOO?OOOVVVVVVVVVVVVVVVOVVVvVVVVVVVVVVO?OOOOOOVOOOOOOOOOVOOOVOOOVOOOOOOO
